2017-06-15 11:18:54,961 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 11:18:55,086 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-15 11:18:55,087 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 11:18:55,087 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 09:27:52,743 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2017-06-16 09:27:52,824 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2017-06-16 09:27:52,825 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2017-06-16 09:28:26,869 [Worker-270] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BSIB:BSIB:0 @ D:\RHB\BSIB Demo\BSIB-DEMO\pom.xml.
2017-06-16 09:28:44,138 [Worker-270] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-16 09:28:44,294 [Worker-270] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/au/com/bytecode/opencsv/2.2/opencsv-2.2.pom
2017-06-16 09:28:45,271 [Worker-270] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-16 09:28:45,273 [Worker-270] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/wsdl4j/wsdl4j/1.6.2/wsdl4j-1.6.2.pom
2017-06-16 09:28:45,308 [Worker-270] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-16 09:28:45,311 [Worker-270] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/xerces/xerces/2.4.0/xerces-2.4.0.pom
2017-06-16 09:28:45,313 [Worker-270] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-16 09:28:45,317 [Worker-270] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/net/bull/javamelody/javamelody-core/1.60.0/javamelody-core-1.60.0.pom
2017-06-16 09:28:45,320 [Worker-270] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-16 09:28:45,323 [Worker-270] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/jrobin/jrobin/1.5.9/jrobin-1.5.9.pom
2017-06-16 09:28:45,326 [Worker-270] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-16 09:28:45,329 [Worker-270] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/com/google/guava/guava/18.0/guava-18.0.pom
2017-06-16 09:28:53,633 [Worker-275] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BSIB:BSIB:0 @ D:\RHB\BSIB Demo\BSIB-DEMO\pom.xml.
2017-06-16 09:30:12,001 [Worker-289] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:30:12,003 [Worker-289] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-16 09:30:12,015 [Worker-289] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:30:12,016 [Worker-289] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-16 09:31:21,284 [Worker-273] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BSIB:BSIB:0 @ D:\RHB\BSIB Demo\BSIB-DEMO\pom.xml.
2017-06-16 09:31:23,308 [Worker-273] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:31:23,309 [Worker-273] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 09:31:23,311 [Worker-273] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:31:23,312 [Worker-273] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 09:31:32,921 [Worker-281] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:31:32,926 [Worker-281] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-16 09:31:32,956 [Worker-281] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:31:32,957 [Worker-281] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-16 09:32:44,482 [Worker-320] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:32:44,487 [Worker-320] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-16 09:32:44,492 [Worker-320] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:32:44,493 [Worker-320] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-16 09:35:05,179 [Worker-298] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:35:05,182 [Worker-298] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-16 09:35:05,194 [Worker-298] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:35:05,195 [Worker-298] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-16 09:35:28,034 [Worker-318] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:35:28,034 [Worker-318] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 09:35:28,037 [Worker-318] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:35:28,037 [Worker-318] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 09:49:04,201 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2017-06-16 09:49:04,216 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2017-06-16 09:49:04,218 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2017-06-16 09:49:47,293 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BSIB:BSIB:0 @ D:\RHB\BSIB Demo\BSIB-DEMO\pom.xml.
2017-06-16 09:49:55,612 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BSIB:BSIB:0 @ D:\RHB\BSIB Demo\BSIB-DEMO\pom.xml.
