127.0.0.1 - - [12/Oct/2017:15:29:52 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/nm-router.js?reload=Math.random(); HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/firesetupmodule.js?reload=Math.random(); HTTP/1.1" 200 172337
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/nmservice.js?reload=Math.random(); HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/nmsetupservice.js?reload=Math.random(); HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/nmmodule.js?reload=Math.random(); HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/nmsearchservice.js?reload=Math.random(); HTTP/1.1" 200 10925
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/nmsearchmodule.js?reload=Math.random(); HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/NmConstants.js?reload=Math.random(); HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/nbmotorcnvehicle.js?reload=Math.random(); HTTP/1.1" 200 56247
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/nmsetupmodule.js?reload=Math.random(); HTTP/1.1" 200 266338
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/flexiguideapproval-validation.js?reload=Math.random(); HTTP/1.1" 200 20064
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/endtvalidation.js?reload=Math.random(); HTTP/1.1" 200 18761
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/staffprofile.js?reload=Math.random(); HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/flexiguide-validation.js?reload=Math.random(); HTTP/1.1" 200 22317
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/clientprofile.js?reload=Math.random(); HTTP/1.1" 200 17043
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/importstaff.js?reload=Math.random(); HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/accessinfo.js?reload=Math.random(); HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/motor-router.js?reload=Math.random(); HTTP/1.1" 200 13860
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/app/subuserprofile.js?reload=Math.random(); HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/report-router.js?reload=Math.random(); HTTP/1.1" 200 26127
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/view-router.js?reload=Math.random(); HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/admin-router.js?reload=Math.random(); HTTP/1.1" 200 15613
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/motorsearchservice.js?reload=Math.random(); HTTP/1.1" 200 187656
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/commonservice.js?reload=Math.random(); HTTP/1.1" 200 69529
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/adminsearchservice.js?reload=Math.random(); HTTP/1.1" 200 54936
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/paymentservice.js?reload=Math.random(); HTTP/1.1" 200 39404
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/systemsettingsservice.js?reload=Math.random(); HTTP/1.1" 200 23775
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/explorerservice.js?reload=Math.random(); HTTP/1.1" 200 8911
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/setup-router.js?reload=Math.random(); HTTP/1.1" 200 19320
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/viewservice-ext.js?reload=Math.random(); HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/viewservice.js?reload=Math.random(); HTTP/1.1" 200 29521
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/endorcalculationservice.js?reload=Math.random(); HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/adminservice.js?reload=Math.random(); HTTP/1.1" 200 16593
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/reportservice.js?reload=Math.random(); HTTP/1.1" 200 57407
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/reportservice-ext.js?reload=Math.random(); HTTP/1.1" 200 30755
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/filtersearchservice.js?reload=Math.random(); HTTP/1.1" 200 56383
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/flexiguidesetupservice.js?reload=Math.random(); HTTP/1.1" 200 7307
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/flexiguideapprovalservice.js?reload=Math.random(); HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/paymentmodule.js?reload=Math.random(); HTTP/1.1" 200 126641
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/searchmodule.js?reload=Math.random(); HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/explorermodule.js?reload=Math.random(); HTTP/1.1" 200 204087
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/viewmodule-ext.js?reload=Math.random(); HTTP/1.1" 200 5889
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/filtersearchmodule.js?reload=Math.random(); HTTP/1.1" 200 2019
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/systemsettingsmodule.js?reload=Math.random(); HTTP/1.1" 200 69481
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/reportmodule.js?reload=Math.random(); HTTP/1.1" 200 381368
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/adminmodule.js?reload=Math.random(); HTTP/1.1" 200 586313
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/ancillarymodule.js?reload=Math.random(); HTTP/1.1" 200 27864
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/viewmodule.js?reload=Math.random(); HTTP/1.1" 200 195402
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/flexiguideapprovalmodule.js?reload=Math.random(); HTTP/1.1" 200 185535
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/reportmodule-ext.js?reload=Math.random(); HTTP/1.1" 200 245488
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularservice/flxgudappsetupservice.js?reload=Math.random(); HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/uwmodule.js?reload=Math.random(); HTTP/1.1" 200 329724
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/flxgudappsetupmodule.js?reload=Math.random(); HTTP/1.1" 200 69949
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/angularmod/flexiguidesetupmodule.js?reload=Math.random(); HTTP/1.1" 200 266200
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/layout/dist/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 200 64464
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:34 +0530] "GET /RHBI/layout/dist/fonts/sourcesanspro-regular-webfont.woff2 HTTP/1.1" 200 27364
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:35 +0530] "POST /RHBI/ancillary/currentdatetime HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:35 +0530] "GET /RHBI/common/template/appmain HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:35 +0530] "POST /RHBI/admin/getLatestDownTime HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:36 +0530] "POST /RHBI/ancillary/getPendingCNDetails HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:36 +0530] "POST /RHBI/admin/getLatestDownTime HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:36 +0530] "POST /RHBI/ancillary/getCNPARDetails HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:38 +0530] "POST /RHBI/ancillary/getStaffWarchestbalance HTTP/1.1" 200 5403
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:38 +0530] "POST /RHBI/admin/getNews HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:38 +0530] "POST /RHBI/ancillary/getStaffWarchestbalance HTTP/1.1" 200 5403
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:41 +0530] "GET /RHBI/nsurebase/common/template/menu HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:41 +0530] "POST /RHBI/checkauthoriseduser HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:41 +0530] "POST /RHBI/admin/getLatestDownTime HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:44 +0530] "GET /RHBI/nsurebase/reports/dailyendorsementreport HTTP/1.1" 200 15850
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:44 +0530] "POST /RHBI/ancillary/saveAccessLog HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:44 +0530] "GET /RHBI/layout/dist/img/arrow.PNG HTTP/1.1" 200 15017
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:44 +0530] "POST /RHBI/ancillary/currentdatetime HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:44 +0530] "POST /RHBI/loginsourcetypes HTTP/1.1" 200 10491
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:44 +0530] "POST /RHBI/reports/loadPaymentType HTTP/1.1" 200 1791
